# T=10^0	T=10^1	T=10^2	T=10^3	T=10^4
0	4	101	1013	9919
0	5	88	1031	10054
1	10	94	1002	10036
1	13	111	1012	9837
1	8	101	995	10028
1	12	101	997	9870
1	9	98	1041	10020
0	15	108	966	10041
0	12	113	1055	10055
0	11	99	1001	10097
1	8	110	961	9987
0	9	95	1017	9839
1	11	121	1042	9999
2	9	106	965	9809
0	9	106	1018	9950
0	11	106	991	10158
0	4	103	1005	9895
1	10	92	1019	9886
0	11	90	986	10094
0	10	77	957	10077
2	13	104	969	9714
1	12	95	961	9870
0	17	117	1015	10015
1	6	111	984	9886
1	6	94	966	9896
1	10	108	1049	10218
1	13	85	975	9904
0	6	102	1003	10097
0	11	101	979	9944
0	8	81	995	9945
0	7	101	1010	9938
1	6	111	1097	10127
0	8	80	979	9978
2	7	86	985	10034
0	7	89	961	10009
1	13	110	1003	9980
1	10	101	1053	10270
3	13	109	980	9889
0	7	101	1038	10146
0	12	111	985	10047
1	8	77	947	10083
2	9	79	969	9984
1	7	97	1048	10124
0	9	100	996	10185
1	13	120	995	9987
3	11	84	1030	10057
1	3	93	989	9995
1	11	111	986	9930
0	7	113	981	9974
0	7	103	1074	10114
1	8	84	981	9843
0	15	101	1012	10007
2	7	83	992	9942
1	10	116	996	9770
1	7	90	1019	9975
1	8	100	1047	10100
1	6	97	946	9918
1	16	101	1007	10028
0	13	91	1014	10036
0	4	99	1065	10074
1	7	88	965	9969
1	11	103	1013	10002
3	8	98	934	9833
1	12	100	1024	10003
1	5	115	998	10109
0	7	108	989	9984
0	10	87	962	9991
0	10	110	1037	10072
0	14	111	964	9871
0	10	89	958	9793
0	8	110	1009	10080
1	9	96	1018	10230
0	9	102	988	9885
1	9	101	1022	10182
2	12	95	967	10072
0	9	90	1038	10126
2	10	100	1027	9997
0	8	88	999	10071
1	8	89	989	10000
0	12	105	977	9940
0	14	103	938	9896
2	11	117	1045	9994
1	7	86	937	9876
0	6	89	968	9931
2	12	101	973	9927
1	7	97	1022	9980
1	9	87	999	9944
1	9	93	982	10080
0	6	94	989	10150
0	6	103	1026	10046
1	11	119	1001	10066
0	12	107	1042	9932
2	13	83	917	10127
1	9	98	1012	9809
0	8	111	986	9963
4	10	90	948	9883
2	10	96	1000	10114
1	9	100	1018	10025
1	11	96	937	10153
1	13	111	994	10094
1	13	105	1019	9951
